"city_id","period_start","wait_time","treat","commute","trips_pool","trips_express","rider_cancellations","total_driver_payout","total_matches","total_double_matches"
"Kakariko","2022-02-19 07:00:00","2 mins",FALSE,TRUE,1416,3240,257,34422.411634112,3373,1476
"Kakariko","2022-02-19 09:40:00","5 mins",TRUE,FALSE,1461,2358,203,29781.3498206034,2284,1275
"Kakariko","2022-02-19 12:20:00","2 mins",FALSE,FALSE,1361,2188,118,27475.3673629901,2287,962
"Kakariko","2022-02-19 15:00:00","5 mins",TRUE,TRUE,1985,3584,355,45050.4529928284,4032,2021
"Kakariko","2022-02-19 17:40:00","2 mins",FALSE,FALSE,1369,2580,180,27603.9552954783,2199,979
"Kakariko","2022-02-19 20:20:00","5 mins",TRUE,FALSE,1401,2024,135,23838.1108478885,2072,1062
"Kakariko","2022-02-19 23:00:00","2 mins",FALSE,FALSE,1213,2541,104,29612.9056679408,2595,1406
"Kakariko","2022-02-20 01:40:00","5 mins",TRUE,FALSE,1693,2013,149,25794.869919853,1917,1281
"Kakariko","2022-02-20 04:20:00","2 mins",FALSE,FALSE,1250,2477,131,23192.9462878441,2626,1059
"Kakariko","2022-02-20 07:00:00","5 mins",TRUE,TRUE,1817,2541,284,33994.4738982427,2625,1565
"Kakariko","2022-02-20 09:40:00","2 mins",FALSE,FALSE,1593,2769,165,28030.3648018619,2725,855
"Kakariko","2022-02-20 12:20:00","5 mins",TRUE,FALSE,1630,2383,184,26016.4189028636,2483,1322
"Kakariko","2022-02-20 15:00:00","2 mins",FALSE,TRUE,1638,3289,237,39861.4015120548,3776,1969
"Kakariko","2022-02-20 17:40:00","5 mins",TRUE,FALSE,1175,1891,144,21974.7343108391,1890,998
"Kakariko","2022-02-20 20:20:00","2 mins",FALSE,FALSE,1852,2303,159,33274.0927276648,2233,1145
"Kakariko","2022-02-20 23:00:00","5 mins",TRUE,FALSE,1143,2416,182,25043.1827083308,2213,1104
"Kakariko","2022-02-21 01:40:00","2 mins",FALSE,FALSE,1487,1951,125,25430.060914892,1905,1120
"Kakariko","2022-02-21 04:20:00","5 mins",TRUE,FALSE,1557,2311,180,25144.4448831208,2121,990
"Kakariko","2022-02-21 07:00:00","2 mins",FALSE,TRUE,1914,3473,244,44917.1058485755,3579,1809
"Kakariko","2022-02-21 09:40:00","5 mins",TRUE,FALSE,1661,2321,183,27589.1359922487,2348,1309
"Kakariko","2022-02-21 12:20:00","2 mins",FALSE,FALSE,1036,3193,169,29238.9354728893,3039,1607
"Kakariko","2022-02-21 15:00:00","5 mins",TRUE,TRUE,1740,3392,290,40411.0185556034,4116,1690
"Kakariko","2022-02-21 17:40:00","2 mins",FALSE,FALSE,1596,2251,151,30563.2764888184,2278,1480
"Kakariko","2022-02-21 20:20:00","5 mins",TRUE,FALSE,1410,1633,154,24013.1819905297,1746,754
"Kakariko","2022-02-21 23:00:00","2 mins",FALSE,FALSE,1251,2559,164,27126.7744314152,2208,1329
"Kakariko","2022-02-22 01:40:00","5 mins",TRUE,FALSE,1304,2126,157,22806.5500698282,2182,728
"Kakariko","2022-02-22 04:20:00","2 mins",FALSE,FALSE,1270,2195,119,24945.3926977116,2011,1099
"Kakariko","2022-02-22 07:00:00","5 mins",TRUE,TRUE,1495,2375,274,28548.2830893252,2657,1442
"Kakariko","2022-02-22 09:40:00","2 mins",FALSE,FALSE,1520,2055,144,25846.7486321109,2119,836
"Kakariko","2022-02-22 12:20:00","5 mins",TRUE,FALSE,1744,2273,172,27339.1325672375,2170,1481
"Kakariko","2022-02-22 15:00:00","2 mins",FALSE,TRUE,1504,4510,351,48555.4219640203,5001,2533
"Kakariko","2022-02-22 17:40:00","5 mins",TRUE,FALSE,1555,2233,155,24967.6996358133,2079,1488
"Kakariko","2022-02-22 20:20:00","2 mins",FALSE,FALSE,1622,2247,159,27965.4230301765,2153,959
"Kakariko","2022-02-22 23:00:00","5 mins",TRUE,FALSE,1024,2538,184,25454.8966792341,2361,1276
"Kakariko","2022-02-23 01:40:00","2 mins",FALSE,FALSE,990,2020,128,23822.4107627046,1933,742
"Kakariko","2022-02-23 04:20:00","5 mins",TRUE,FALSE,1321,2057,146,21851.918958137,2151,1141
"Kakariko","2022-02-23 07:00:00","2 mins",FALSE,TRUE,1181,3593,228,34100.7701126064,3814,1619
"Kakariko","2022-02-23 09:40:00","5 mins",TRUE,FALSE,1254,2480,175,26397.0993871079,2586,1555
"Kakariko","2022-02-23 12:20:00","2 mins",FALSE,FALSE,1637,2659,182,34023.0310286925,2591,1348
"Kakariko","2022-02-23 15:00:00","5 mins",TRUE,TRUE,1177,3947,333,37465.6879611301,4201,2739
"Kakariko","2022-02-23 17:40:00","2 mins",FALSE,FALSE,1364,2396,174,25006.472983964,2427,981
"Kakariko","2022-02-23 20:20:00","5 mins",TRUE,FALSE,1635,1985,162,28488.2831695949,1740,1389
"Kakariko","2022-02-23 23:00:00","2 mins",FALSE,FALSE,1371,2469,141,30758.8843286678,2744,1132
"Kakariko","2022-02-24 01:40:00","5 mins",TRUE,FALSE,1349,2299,175,23728.4150765883,2278,1065
"Kakariko","2022-02-24 04:20:00","2 mins",FALSE,FALSE,774,2511,96,23608.3627930691,2620,1352
"Kakariko","2022-02-24 07:00:00","5 mins",TRUE,FALSE,1281,2142,161,20467.2206404007,2238,996
"Kakariko","2022-02-24 09:40:00","2 mins",FALSE,FALSE,1273,2624,164,29607.4350381988,2606,1104
"Kakariko","2022-02-24 12:20:00","5 mins",TRUE,FALSE,1596,2564,182,32060.1536276511,2473,1338
"Kakariko","2022-02-24 15:00:00","2 mins",FALSE,FALSE,1406,2430,132,25050.8179769122,2567,1257
"Kakariko","2022-02-24 17:40:00","5 mins",TRUE,FALSE,1594,2577,179,27336.5485779946,2360,1291
"Kakariko","2022-02-24 20:20:00","2 mins",FALSE,FALSE,1202,2669,185,26730.5178139435,2965,1541
"Kakariko","2022-02-24 23:00:00","5 mins",TRUE,FALSE,931,2437,139,21726.2453737913,2356,1185
"Kakariko","2022-02-25 01:40:00","2 mins",FALSE,FALSE,1061,2500,100,22206.1887817288,2737,1288
"Kakariko","2022-02-25 04:20:00","5 mins",TRUE,FALSE,1006,2136,155,22084.635244372,2296,1250
"Kakariko","2022-02-25 07:00:00","2 mins",FALSE,FALSE,1746,2500,158,28172.1998686985,2510,1022
"Kakariko","2022-02-25 09:40:00","5 mins",TRUE,FALSE,1517,3058,195,31151.5059786487,3126,1662
"Kakariko","2022-02-25 12:20:00","2 mins",FALSE,FALSE,1261,2459,127,28543.7924691428,2310,1106
"Kakariko","2022-02-25 15:00:00","5 mins",TRUE,FALSE,1585,1911,157,24023.5572016005,1924,1300
"Kakariko","2022-02-25 17:40:00","2 mins",FALSE,FALSE,1309,2737,176,31240.0600454366,2910,1683
"Kakariko","2022-02-25 20:20:00","5 mins",TRUE,FALSE,1423,2239,155,25240.1751247329,2221,1114
"Kakariko","2022-02-25 23:00:00","2 mins",FALSE,FALSE,1259,3291,167,31764.5028847961,3203,1857
"Kakariko","2022-02-26 01:40:00","5 mins",TRUE,FALSE,1432,1999,173,24955.8404449544,1876,1157
"Kakariko","2022-02-26 04:20:00","2 mins",FALSE,FALSE,1398,2371,145,27041.5493642204,2362,814
"Kakariko","2022-02-26 07:00:00","5 mins",TRUE,TRUE,1737,2759,290,37989.2455847987,3106,1391
"Kakariko","2022-02-26 09:40:00","2 mins",FALSE,FALSE,1253,2229,129,25636.2589238628,2163,1198
"Kakariko","2022-02-26 12:20:00","5 mins",TRUE,FALSE,1417,2510,195,28688.2077899444,2454,1482
"Kakariko","2022-02-26 15:00:00","2 mins",FALSE,TRUE,1475,2905,198,33496.2320022266,2805,1049
"Kakariko","2022-02-26 17:40:00","5 mins",TRUE,FALSE,1499,2925,219,23545.3784085553,2966,1814
"Kakariko","2022-02-26 20:20:00","2 mins",FALSE,FALSE,1545,2228,167,25153.8961617686,2416,1236
"Kakariko","2022-02-26 23:00:00","5 mins",TRUE,FALSE,1926,2527,190,29708.2347704534,2749,1417
"Kakariko","2022-02-27 01:40:00","2 mins",FALSE,FALSE,1007,2606,159,26631.2498401456,2725,1177
"Kakariko","2022-02-27 04:20:00","5 mins",TRUE,FALSE,1411,1872,165,19181.2051338312,1594,1420
"Kakariko","2022-02-27 07:00:00","2 mins",FALSE,TRUE,1470,3795,279,41709.5363779959,4066,2034
"Kakariko","2022-02-27 09:40:00","5 mins",TRUE,FALSE,1367,2052,187,22480.4080538054,2078,1196
"Kakariko","2022-02-27 12:20:00","2 mins",FALSE,FALSE,1121,2285,104,23750.539978495,2231,949
"Kakariko","2022-02-27 15:00:00","5 mins",TRUE,TRUE,1248,3633,288,32694.1446043533,3837,1686
"Kakariko","2022-02-27 17:40:00","2 mins",FALSE,FALSE,988,2670,121,24047.3670695274,2543,1055
"Kakariko","2022-02-27 20:20:00","5 mins",TRUE,FALSE,1470,2244,169,25677.4263585063,2307,1229
"Kakariko","2022-02-27 23:00:00","2 mins",FALSE,FALSE,1676,1935,174,27845.7020575998,1886,1211
"Kakariko","2022-02-28 01:40:00","5 mins",TRUE,FALSE,827,2418,173,18714.9929886151,2186,1657
"Kakariko","2022-02-28 04:20:00","2 mins",FALSE,FALSE,1054,2272,142,22664.7985732436,2226,1397
"Kakariko","2022-02-28 07:00:00","5 mins",TRUE,TRUE,1388,3045,308,34237.220006248,3436,1985
"Kakariko","2022-02-28 09:40:00","2 mins",FALSE,FALSE,1481,2742,166,30103.7583132043,2685,1321
"Kakariko","2022-02-28 12:20:00","5 mins",TRUE,FALSE,1175,2134,157,26231.0636897484,2204,1032
"Kakariko","2022-02-28 15:00:00","2 mins",FALSE,TRUE,1715,3848,289,44891.9941860082,4228,2001
"Kakariko","2022-02-28 17:40:00","5 mins",TRUE,FALSE,1417,2532,162,28288.3260449712,2494,988
"Kakariko","2022-02-28 20:20:00","2 mins",FALSE,FALSE,1526,2604,158,30536.6006281671,2547,1237
"Kakariko","2022-02-28 23:00:00","5 mins",TRUE,FALSE,1555,1912,154,24681.4825174986,1809,1419
"Kakariko","2022-03-01 01:40:00","2 mins",FALSE,FALSE,1078,2500,167,24787.1054515194,2611,1274
"Kakariko","2022-03-01 04:20:00","5 mins",TRUE,FALSE,1096,2518,144,25950.7435925118,2328,1637
"Kakariko","2022-03-01 07:00:00","2 mins",FALSE,TRUE,1484,3217,184,38601.5535058098,3403,1864
"Kakariko","2022-03-01 09:40:00","5 mins",TRUE,FALSE,1878,2358,207,31740.2440924648,2264,1227
"Kakariko","2022-03-01 12:20:00","2 mins",FALSE,FALSE,1379,2951,157,30343.0597781867,2555,1854
"Kakariko","2022-03-01 15:00:00","5 mins",TRUE,TRUE,1739,3349,321,34661.9329979725,3235,1858
"Kakariko","2022-03-01 17:40:00","2 mins",FALSE,FALSE,1956,2526,201,32939.8066848529,2685,1044
"Kakariko","2022-03-01 20:20:00","5 mins",TRUE,FALSE,1492,2441,162,28010.5797651983,2361,1429
"Kakariko","2022-03-01 23:00:00","2 mins",FALSE,FALSE,1204,1954,120,25231.3990162373,2056,735
"Kakariko","2022-03-02 01:40:00","5 mins",TRUE,FALSE,1289,1965,172,20081.3120357547,2180,1284
"Kakariko","2022-03-02 04:20:00","2 mins",FALSE,FALSE,1273,1841,134,23477.2695533004,2030,1000
"Kakariko","2022-03-02 07:00:00","5 mins",TRUE,TRUE,1070,3207,291,32301.8234149936,3477,1701
"Kakariko","2022-03-02 09:40:00","2 mins",FALSE,FALSE,1293,2234,138,28000.7284377521,2284,1031
"Kakariko","2022-03-02 12:20:00","5 mins",TRUE,FALSE,1785,2089,152,26984.734310859,2017,1420
"Kakariko","2022-03-02 15:00:00","2 mins",FALSE,TRUE,1386,3397,203,34550.7989717515,3850,1589
"Kakariko","2022-03-02 17:40:00","5 mins",TRUE,FALSE,1423,2463,169,24367.9073059025,2519,1233
"Kakariko","2022-03-02 20:20:00","2 mins",FALSE,FALSE,1393,2090,175,24968.7716387585,1929,1119
"Kakariko","2022-03-02 23:00:00","5 mins",TRUE,FALSE,2241,2033,197,29356.2532736056,1964,1133
"Kakariko","2022-03-03 01:40:00","2 mins",FALSE,FALSE,1412,2285,151,31911.6473287252,1997,1315
"Kakariko","2022-03-03 04:20:00","5 mins",TRUE,FALSE,1353,2505,181,31240.8753445682,2438,1405
"Kakariko","2022-03-03 07:00:00","2 mins",FALSE,FALSE,1351,2469,146,28131.7382222461,2080,1464
"Kakariko","2022-03-03 09:40:00","5 mins",TRUE,FALSE,1710,2737,168,28081.7282118194,2923,1698
"Kakariko","2022-03-03 12:20:00","2 mins",FALSE,FALSE,1163,2450,192,23048.7840175609,2362,820
"Kakariko","2022-03-03 15:00:00","5 mins",TRUE,FALSE,1628,2084,158,26752.7366750485,1985,978
"Kakariko","2022-03-03 17:40:00","2 mins",FALSE,FALSE,1299,3115,171,29854.3269575987,3078,1838
"Kakariko","2022-03-03 20:20:00","5 mins",TRUE,FALSE,1323,2159,125,27831.2325338228,2212,1373
"Kakariko","2022-03-03 23:00:00","2 mins",FALSE,FALSE,1101,2404,136,24000.490408682,2496,1032
"Kakariko","2022-03-04 01:40:00","5 mins",TRUE,FALSE,1085,2220,145,22798.1817294733,2265,1055
"Kakariko","2022-03-04 04:20:00","2 mins",FALSE,FALSE,1153,2249,133,31623.0131410441,2183,1304
"Kakariko","2022-03-04 07:00:00","5 mins",TRUE,FALSE,1512,2060,129,22982.1590020921,1834,1063
"Kakariko","2022-03-04 09:40:00","2 mins",FALSE,FALSE,1153,2788,192,29446.9095941891,2730,1752
"Kakariko","2022-03-04 12:20:00","5 mins",TRUE,FALSE,1821,1969,205,24346.583560799,1970,1510
"Kakariko","2022-03-04 15:00:00","2 mins",FALSE,FALSE,1393,2298,161,27990.257605576,2174,882
"Kakariko","2022-03-04 17:40:00","5 mins",TRUE,FALSE,1716,2656,173,28260.521150903,2596,1361
"Kakariko","2022-03-04 20:20:00","2 mins",FALSE,FALSE,1300,2330,158,27091.6063544382,2163,940
"Kakariko","2022-03-04 23:00:00","5 mins",TRUE,FALSE,1158,2357,154,23550.1159516837,2325,1473
"Kakariko","2022-03-05 01:40:00","2 mins",FALSE,FALSE,1168,2236,131,23052.2702705104,2252,900
"Kakariko","2022-03-05 04:20:00","5 mins",TRUE,FALSE,1358,2423,197,26007.5260220865,2363,1015
